user_id,signup_dt,channel,plan,company_size,connected_source,reached_first_dashboard,invited_teammate,retained_w4,active_weeks
1,2025-01-04T14:15:00,referral,free,51-200,0,0,0,0,0
2,2025-03-11T08:37:00,referral,free,1-10,0,0,0,0,0
3,2025-03-06T06:35:00,organic_search,free,51-200,1,1,1,0,1
4,2025-01-29T20:37:00,paid_ads,free,201-1000,0,0,0,0,0
5,2025-01-21T19:21:00,content,free,1-10,0,0,0,0,1
6,2025-01-14T08:24:00,content,free,201-1000,0,0,0,0,1
7,2025-01-06T20:34:00,referral,free,201-1000,1,1,1,1,4
8,2025-02-07T17:36:00,organic_search,free,1-10,0,0,0,0,0
9,2025-02-07T08:54:00,referral,free,1-10,0,0,0,0,0
10,2025-03-23T17:10:00,organic_search,free,1-10,0,0,0,0,0
11,2025-03-29T08:38:00,organic_search,free,11-50,0,0,0,0,0
12,2025-03-01T18:17:00,organic_search,business,51-200,0,0,0,0,0
13,2025-03-29T16:53:00,referral,team,1-10,0,0,0,0,0
14,2025-02-10T18:17:00,content,free,201-1000,0,0,0,0,0
15,2025-02-10T12:41:00,referral,free,201-1000,1,1,1,0,1
16,2025-01-19T14:08:00,referral,free,11-50,0,0,0,0,0
17,2025-03-16T19:57:00,organic_search,free,11-50,0,0,0,0,0
18,2025-01-18T22:31:00,outbound,free,1-10,0,0,0,0,0
19,2025-03-22T11:50:00,organic_search,free,11-50,1,1,1,0,2
20,2025-03-18T20:33:00,paid_ads,free,11-50,0,0,0,0,0
21,2025-03-29T09:43:00,outbound,team,51-200,1,1,0,0,2
22,2025-02-13T09:18:00,content,free,11-50,1,1,0,0,0
23,2025-02-03T22:48:00,outbound,free,201-1000,0,0,0,0,0
24,2025-02-08T22:38:00,content,free,11-50,0,0,0,0,0
25,2025-03-09T06:38:00,organic_search,free,1-10,0,0,0,0,0
26,2025-02-09T13:03:00,outbound,free,11-50,0,0,0,0,0
27,2025-03-04T08:48:00,organic_search,free,1-10,0,0,0,0,0
28,2025-03-12T11:16:00,referral,free,11-50,1,1,0,0,1
29,2025-03-11T12:45:00,outbound,free,1000+,1,1,1,0,2
30,2025-02-26T22:28:00,referral,free,1-10,1,1,0,0,1
31,2025-03-17T13:37:00,paid_ads,free,1-10,0,0,0,0,0
32,2025-01-30T08:57:00,referral,free,1-10,0,0,0,0,0
33,2025-02-05T21:13:00,paid_ads,free,51-200,0,0,0,0,0
34,2025-03-15T21:15:00,content,team,51-200,1,1,0,1,3
35,2025-01-13T19:22:00,organic_search,free,11-50,0,0,0,0,0
36,2025-03-28T09:03:00,content,free,1-10,0,0,0,0,0
37,2025-02-01T12:12:00,content,free,1-10,0,0,0,0,0
38,2025-03-01T13:55:00,organic_search,business,11-50,1,1,0,1,3
39,2025-03-12T09:03:00,content,free,11-50,0,0,0,0,0
40,2025-01-12T13:10:00,organic_search,free,11-50,0,0,0,0,0
41,2025-01-08T11:24:00,content,free,11-50,1,1,0,1,3
42,2025-02-28T15:27:00,outbound,free,51-200,0,0,0,0,0
43,2025-03-26T21:09:00,content,free,1-10,1,1,1,1,4
44,2025-03-11T07:47:00,organic_search,free,1-10,0,0,0,0,0
45,2025-03-09T11:03:00,paid_ads,business,1-10,0,0,0,0,0
46,2025-03-18T08:43:00,organic_search,team,11-50,0,0,0,0,0
47,2025-03-14T13:37:00,outbound,free,11-50,0,0,0,0,1
48,2025-03-16T22:20:00,paid_ads,business,1-10,1,1,0,1,3
49,2025-01-31T14:25:00,content,free,51-200,0,0,0,0,0
50,2025-01-10T06:29:00,paid_ads,free,11-50,0,0,0,0,0
51,2025-03-10T12:32:00,organic_search,free,201-1000,0,0,0,0,0
52,2025-02-01T17:18:00,content,free,201-1000,0,0,0,0,0
53,2025-03-20T22:00:00,content,free,11-50,0,0,0,0,0
54,2025-01-14T10:16:00,outbound,free,1-10,0,0,0,0,0
55,2025-02-04T15:38:00,referral,free,1-10,0,0,0,0,0
56,2025-02-03T22:31:00,referral,free,201-1000,0,0,0,0,0
57,2025-03-23T19:53:00,organic_search,free,1-10,0,0,0,0,0
58,2025-03-23T14:10:00,content,team,11-50,0,0,0,0,0
59,2025-01-02T09:04:00,paid_ads,business,51-200,0,0,0,0,0
60,2025-01-05T17:37:00,organic_search,free,11-50,0,0,0,0,1
61,2025-02-16T07:57:00,organic_search,free,51-200,0,0,0,0,0
62,2025-02-15T19:39:00,referral,team,201-1000,0,0,0,0,0
63,2025-01-21T11:56:00,organic_search,free,1-10,0,0,0,0,0
64,2025-02-22T13:17:00,outbound,free,51-200,0,0,0,0,0
65,2025-01-05T21:14:00,paid_ads,free,201-1000,0,0,0,0,1
66,2025-01-30T13:01:00,paid_ads,free,11-50,1,0,0,0,1
67,2025-01-09T14:22:00,organic_search,free,11-50,1,1,1,1,2
68,2025-03-10T16:01:00,outbound,free,1000+,0,0,0,0,0
69,2025-02-03T07:06:00,organic_search,free,1-10,0,0,0,0,0
70,2025-02-25T22:07:00,content,free,11-50,0,0,0,0,0
71,2025-04-01T19:00:00,organic_search,free,51-200,0,0,0,1,1
72,2025-03-27T12:23:00,referral,free,201-1000,0,0,0,0,0
73,2025-03-21T16:42:00,outbound,team,51-200,1,1,0,0,1
74,2025-02-09T19:20:00,paid_ads,free,1-10,0,0,0,0,0
75,2025-02-23T18:43:00,organic_search,team,1-10,0,0,0,0,0
76,2025-02-21T06:19:00,referral,free,11-50,0,0,0,0,0
77,2025-03-25T16:29:00,referral,free,51-200,0,0,0,0,0
78,2025-01-22T08:18:00,paid_ads,free,51-200,0,0,0,0,0
79,2025-01-31T15:14:00,paid_ads,team,1-10,0,0,0,0,0
80,2025-03-02T08:29:00,organic_search,free,11-50,0,0,0,0,0
